mode	scenario	window	cpu_delta_s	sampled_peak_rss_delta_kib	leader_thread_voluntary_context_switch_delta	child_attempt_delta	publication_change_delta	publication_byte_delta
normal	hidden	startup	0.000	3948	-19	NA:untraced_resource_run	-1	-9374
normal	hidden	setup	0.000	8956	0	NA:untraced_resource_run	1	9147
normal	hidden	steady	0.020	4716	-80	NA:untraced_resource_run	-7	-55564
normal	main	startup	0.010	4472	-19	NA:untraced_resource_run	-1	-5200
normal	main	setup	0.000	0	0	NA:untraced_resource_run	0	0
normal	main	steady	0.000	4472	-80	NA:untraced_resource_run	0	4356
normal	graphs	startup	0.000	4672	-19	NA:untraced_resource_run	-1	-5210
normal	graphs	setup	0.000	4416	-1	NA:untraced_resource_run	1	4729
normal	graphs	steady	0.030	4936	-80	NA:untraced_resource_run	-4	-30824
normal	processes	startup	0.000	3960	-19	NA:untraced_resource_run	-1	-5210
normal	processes	setup	0.000	3960	-1	NA:untraced_resource_run	1	4841
normal	processes	steady	0.020	4216	-80	NA:untraced_resource_run	-3	-14523
cpu0	hidden	startup	0.000	4216	-19	NA:untraced_resource_run	-1	-9374
cpu0	hidden	setup	0.000	9740	0	NA:untraced_resource_run	1	9147
cpu0	hidden	steady	0.020	4984	-80	NA:untraced_resource_run	-9	-65206
cpu0	main	startup	0.000	5124	-19	NA:untraced_resource_run	-1	-5200
cpu0	main	setup	0.000	0	0	NA:untraced_resource_run	0	0
cpu0	main	steady	0.010	5124	-80	NA:untraced_resource_run	-2	-5331
cpu0	graphs	startup	0.000	5168	-19	NA:untraced_resource_run	-1	-5210
cpu0	graphs	setup	0.000	5116	-1	NA:untraced_resource_run	1	4741
cpu0	graphs	steady	0.030	6136	-80	NA:untraced_resource_run	-2	-27775
cpu0	processes	startup	0.000	5104	-19	NA:untraced_resource_run	-1	-5200
cpu0	processes	setup	0.000	5104	-1	NA:untraced_resource_run	1	4841
cpu0	processes	steady	0.020	6140	-80	NA:untraced_resource_run	-2	-9815
