run	instrumented_tree_user_s	instrumented_tree_system_s	instrumented_tree_peak_rss_kib	instrumented_tree_voluntary_context_switches	instrumented_tree_involuntary_context_switches	exit_status
baseline-cpu0-graphs-1	0.02	0.01	15280	126	16	0
baseline-cpu0-graphs-2	0.02	0.01	14976	126	11	0
baseline-cpu0-graphs-3	0.02	0.01	15220	126	11	0
baseline-cpu0-hidden-1	0.01	0.02	14784	125	10	0
baseline-cpu0-hidden-2	0.01	0.01	15224	126	11	0
baseline-cpu0-hidden-3	0.01	0.01	15224	126	10	0
baseline-cpu0-main-1	0.01	0.01	14800	127	10	0
baseline-cpu0-main-2	0.01	0.01	14964	125	11	0
baseline-cpu0-main-3	0.01	0.01	14968	127	11	0
baseline-cpu0-processes-1	0.02	0.05	14584	126	11	0
baseline-cpu0-processes-2	0.01	0.05	15332	126	11	0
baseline-cpu0-processes-3	0.02	0.05	14816	129	11	0
baseline-normal-graphs-1	0.03	0.01	15244	126	14	0
baseline-normal-graphs-2	0.03	0.01	14648	128	15	0
baseline-normal-graphs-3	0.02	0.02	14996	129	10	0
baseline-normal-hidden-1	0.01	0.01	14072	126	10	0
baseline-normal-hidden-2	0.01	0.01	14524	126	22	0
baseline-normal-hidden-3	0.01	0.02	14816	128	27	0
baseline-normal-main-1	0.01	0.02	14988	129	10	0
baseline-normal-main-2	0.01	0.02	14976	128	16	0
baseline-normal-main-3	0.01	0.01	14560	127	26	0
baseline-normal-processes-1	0.01	0.06	14832	127	15	0
baseline-normal-processes-2	0.02	0.06	14376	128	8	0
baseline-normal-processes-3	0.03	0.05	14448	128	14	0
candidate-cpu0-graphs-1	0.03	0.01	15032	195	98	0
candidate-cpu0-graphs-2	0.04	0.01	14964	204	115	0
candidate-cpu0-graphs-3	0.03	0.01	15340	217	109	0
candidate-cpu0-hidden-1	0.02	0.00	14860	145	68	0
candidate-cpu0-hidden-2	0.01	0.01	14880	149	77	0
candidate-cpu0-hidden-3	0.01	0.01	15208	142	72	0
candidate-cpu0-main-1	0.02	0.01	14584	163	77	0
candidate-cpu0-main-2	0.02	0.01	14720	180	109	0
candidate-cpu0-main-3	0.01	0.01	15208	168	107	0
candidate-cpu0-processes-1	0.02	0.06	14820	196	101	0
candidate-cpu0-processes-2	0.02	0.07	14968	207	107	0
candidate-cpu0-processes-3	0.02	0.06	15344	205	118	0
candidate-normal-graphs-1	0.04	0.01	14748	275	10	0
candidate-normal-graphs-2	0.04	0.02	14736	255	15	0
candidate-normal-graphs-3	0.04	0.01	14964	302	25	0
candidate-normal-hidden-1	0.01	0.01	14944	166	9	0
candidate-normal-hidden-2	0.01	0.01	14528	161	16	0
candidate-normal-hidden-3	0.01	0.01	15348	156	7	0
candidate-normal-main-1	0.02	0.01	14968	211	11	0
candidate-normal-main-2	0.02	0.01	14604	211	14	0
candidate-normal-main-3	0.02	0.01	14920	211	17	0
candidate-normal-processes-1	0.02	0.07	15340	231	18	0
candidate-normal-processes-2	0.03	0.06	15280	260	21	0
candidate-normal-processes-3	0.03	0.06	14864	229	23	0
