implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
baseline	normal	hidden	1	startup	0.060000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4300	20	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	hidden	1	setup	0.000000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	normal	hidden	1	steady	8.030000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4300	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	11	74883	bounded-stat-poll-0.1s
baseline	normal	hidden	2	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4240	21	10	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	hidden	2	setup	0.000000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	normal	hidden	2	steady	8.020000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4240	80	2	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70087	bounded-stat-poll-0.1s
baseline	normal	hidden	3	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4240	21	3	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	hidden	3	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	normal	hidden	3	steady	8.010000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4240	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70087	bounded-stat-poll-0.1s
baseline	normal	main	1	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4228	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	main	1	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	normal	main	1	steady	8.030000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4228	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70062	bounded-stat-poll-0.1s
baseline	normal	main	2	startup	0.160000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4240	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969	bounded-stat-poll-0.1s
baseline	normal	main	2	setup	0.020000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	normal	main	2	steady	8.020000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4240	80	2	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70087	bounded-stat-poll-0.1s
baseline	normal	main	3	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4300	21	4	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969	bounded-stat-poll-0.1s
baseline	normal	main	3	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	normal	main	3	steady	8.020000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4300	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70082	bounded-stat-poll-0.1s
baseline	normal	graphs	1	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4548	21	3	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	graphs	1	setup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4804	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	6220	bounded-stat-poll-0.1s
baseline	normal	graphs	1	steady	8.030000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	4804	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	78725	bounded-stat-poll-0.1s
baseline	normal	graphs	2	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4304	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969	bounded-stat-poll-0.1s
baseline	normal	graphs	2	setup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4560	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	6221	bounded-stat-poll-0.1s
baseline	normal	graphs	2	steady	8.010000	1	0	NA:untraced_resource_run	NA:untraced_resource_run	4560	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	78657	bounded-stat-poll-0.1s
baseline	normal	graphs	3	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4556	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	graphs	3	setup	0.130000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4812	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	6220	bounded-stat-poll-0.1s
baseline	normal	graphs	3	steady	8.020000	1	1	NA:untraced_resource_run	NA:untraced_resource_run	4812	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	87025	bounded-stat-poll-0.1s
baseline	normal	processes	1	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4220	21	2	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	processes	1	setup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4220	1	2	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931	bounded-stat-poll-0.1s
baseline	normal	processes	1	steady	8.020000	1	4	NA:untraced_resource_run	NA:untraced_resource_run	4220	80	4	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59534	bounded-stat-poll-0.1s
baseline	normal	processes	2	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4820	21	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	normal	processes	2	setup	0.120000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4820	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931	bounded-stat-poll-0.1s
baseline	normal	processes	2	steady	8.030000	1	4	NA:untraced_resource_run	NA:untraced_resource_run	4820	80	4	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59465	bounded-stat-poll-0.1s
baseline	normal	processes	3	startup	0.070000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4744	21	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13954	bounded-stat-poll-0.1s
baseline	normal	processes	3	setup	0.130000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4744	1	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931	bounded-stat-poll-0.1s
baseline	normal	processes	3	steady	8.010000	1	3	NA:untraced_resource_run	NA:untraced_resource_run	4744	80	4	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59518	bounded-stat-poll-0.1s
baseline	cpu0	hidden	1	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4808	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	hidden	1	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	cpu0	hidden	1	steady	8.020000	0	1	NA:untraced_resource_run	NA:untraced_resource_run	4808	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70047	bounded-stat-poll-0.1s
baseline	cpu0	hidden	2	startup	0.080000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4756	21	2	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	hidden	2	setup	0.010000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0	bounded-stat-poll-0.1s
baseline	cpu0	hidden	2	steady	8.020000	0	0	NA:untraced_resource_run	NA:untraced_resource_run	4756	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70072	bounded-stat-poll-0.1s
