implementation	mode	scenario	repetition	daemon_exit	forced_kill	shutdown_seconds	state_check	process_check	protocol_note
baseline	normal	hidden	1	0	0	0.050000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	hidden	2	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	hidden	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	main	1	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	main	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	main	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	graphs	1	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	graphs	2	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	graphs	3	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	processes	1	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	processes	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	processes	3	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	hidden	1	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	hidden	2	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	hidden	3	0	0	0.070000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	main	1	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	main	2	0	0	0.060000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	main	3	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	graphs	1	0	0	0.050000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	graphs	2	0	0	0.050000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	graphs	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	processes	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	processes	2	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	processes	3	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
