implementation	mode	scenario	window	repetitions	wall_median_s	daemon_cpu_median_s	sampled_peak_rss_median_kib	leader_thread_voluntary_context_switches_median	leader_thread_involuntary_context_switches_median	child_process_attempts_median	successful_children_median	successful_child_exits_median	publication_changes_median	publication_bytes_median
baseline	cpu0	graphs	setup	3	0.120	0.000	4800	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	6208
baseline	cpu0	graphs	startup	3	0.080	0.000	4544	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979
baseline	cpu0	graphs	steady	3	8.020	0.010	4800	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	85777
baseline	cpu0	hidden	setup	3	0.010	0.000	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0
baseline	cpu0	hidden	startup	3	0.080	0.000	4756	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979
baseline	cpu0	hidden	steady	3	8.020	0.000	4756	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70047
baseline	cpu0	main	setup	3	0.010	0.000	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0
baseline	cpu0	main	startup	3	0.080	0.000	4616	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969
baseline	cpu0	main	steady	3	8.020	0.000	4616	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70087
baseline	cpu0	processes	setup	3	0.130	0.010	4624	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931
baseline	cpu0	processes	startup	3	0.070	0.000	4624	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969
baseline	cpu0	processes	steady	3	8.010	0.040	4624	80	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59827
baseline	normal	graphs	setup	3	0.130	0.000	4804	1	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	6220
baseline	normal	graphs	startup	3	0.070	0.000	4548	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979
baseline	normal	graphs	steady	3	8.020	0.010	4804	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	78725
baseline	normal	hidden	setup	3	0.000	0.000	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0
baseline	normal	hidden	startup	3	0.070	0.000	4240	21	3	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979
baseline	normal	hidden	steady	3	8.020	0.000	4240	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70087
baseline	normal	main	setup	3	0.010	0.000	0	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	0	0
baseline	normal	main	startup	3	0.070	0.000	4240	21	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13969
baseline	normal	main	steady	3	8.020	0.010	4240	80	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	70082
baseline	normal	processes	setup	3	0.130	0.010	4744	1	1	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	1	3931
baseline	normal	processes	startup	3	0.080	0.000	4744	21	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	13979
baseline	normal	processes	steady	3	8.020	0.050	4744	80	4	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	10	59518
candidate	cpu0	graphs	setup	3	0.070	0.000	9916	0	0	NA:untraced_resource_run	NA:untraced_resource_run	NA:untraced_resource_run	2	10949
