implementation	mode	scenario	repetition	command
baseline	normal	hidden	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-hidden-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-hidden-1/config/config.toml
baseline	normal	hidden	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-hidden-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-hidden-2/config/config.toml
baseline	normal	hidden	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-hidden-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-hidden-3/config/config.toml
baseline	normal	main	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-main-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-main-1/config/config.toml
baseline	normal	main	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-main-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-main-2/config/config.toml
baseline	normal	main	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-main-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-main-3/config/config.toml
baseline	normal	graphs	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-graphs-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-graphs-1/config/config.toml
baseline	normal	graphs	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-graphs-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-graphs-2/config/config.toml
baseline	normal	graphs	3	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-graphs-3.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-graphs-3/config/config.toml
baseline	normal	processes	1	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-processes-1.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-processes-1/config/config.toml
baseline	normal	processes	2	strace -f -qq -ttt -e trace=process -s 256 -o /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/raw/baseline-normal-processes-2.process.strace /usr/bin/time -v /var/mnt/xdata/code/_self/plasma-top/.scratch/async-metric-scheduler/issue-14/evidence-traced/binaries/baseline-plasma-top daemon --config /tmp/plasma-top-issue14.7dP5VMtI/baseline-normal-processes-2/config/config.toml
