mode	scenario	window	cpu_delta_s	sampled_peak_rss_delta_kib	leader_thread_voluntary_context_switch_delta	child_attempt_delta	publication_change_delta	publication_byte_delta
normal	hidden	startup	0.010	3380	-2841	-6	-1	-9374
normal	hidden	setup	0.000	8452	0	0	1	9147
normal	hidden	steady	0.010	4148	-2270	0	-9	-65241
normal	main	startup	0.010	4408	-2841	-6	0	9
normal	main	setup	0.000	0	0	0	0	0
normal	main	steady	0.010	4408	-2270	0	-3	-14463
normal	graphs	startup	0.020	4612	-2841	-6	0	9
normal	graphs	setup	0.000	-4864	-53	0	-1	-6220
normal	graphs	steady	0.010	5116	-2433	0	-2	-22351
normal	processes	startup	0.010	4532	-2844	-6	0	9
normal	processes	setup	0.000	-4240	-4893	0	-1	-3931
normal	processes	steady	0.030	4788	-26935	0	-2	-10630
normal	unavailable-service	startup	0.010	4092	-2574	-4	0	-394
normal	unavailable-service	setup	0.000	0	0	0	0	0
normal	unavailable-service	steady	0.020	4092	-2270	0	-2	-11672
normal	timeout	startup	0.010	3908	-2806	-6	0	9
normal	timeout	setup	0.010	3908	-219	1	4	18632
normal	timeout	steady	0.010	3964	-747	-1	0	547
cpu0	hidden	startup	0.010	4660	-2844	-6	-1	-9374
cpu0	hidden	setup	0.000	9988	0	0	1	9147
cpu0	hidden	steady	0.000	5428	-2270	0	-8	-60405
cpu0	main	startup	0.020	5112	-2844	-6	0	9
cpu0	main	setup	0.000	0	0	0	0	0
cpu0	main	steady	0.000	5112	-2270	0	-2	-9637
cpu0	graphs	startup	0.010	5116	-2844	-6	0	9
cpu0	graphs	setup	0.000	0	-53	0	0	0
cpu0	graphs	steady	0.020	5608	-2420	0	-1	-10876
cpu0	processes	startup	0.010	4984	-2841	-6	0	9
cpu0	processes	setup	0.000	-4744	-4971	0	-1	-3931
cpu0	processes	steady	0.000	5240	-27358	0	-1	-5868
cpu0	unavailable-service	startup	0.010	5052	-2576	-4	0	-394
cpu0	unavailable-service	setup	0.000	0	-13	0	0	0
cpu0	unavailable-service	steady	0.010	5308	-2270	0	-2	-11662
cpu0	timeout	startup	0.010	4984	-2809	-6	0	9
cpu0	timeout	setup	0.010	4984	-219	1	2	8950
cpu0	timeout	steady	0.010	4984	-744	-1	-1	-4294
