run	instrumented_tree_user_s	instrumented_tree_system_s	instrumented_tree_peak_rss_kib	instrumented_tree_voluntary_context_switches	instrumented_tree_involuntary_context_switches	exit_status
baseline-cpu0-graphs-1	0.02	0.02	15008	9259	39	0
baseline-cpu0-graphs-2	0.02	0.03	14920	9287	44	0
baseline-cpu0-graphs-3	0.02	0.02	15340	9273	22	0
baseline-cpu0-hidden-1	0.03	0.01	15328	9082	37	0
baseline-cpu0-hidden-2	0.01	0.02	14820	9071	35	0
baseline-cpu0-hidden-3	0.02	0.02	15008	9061	57	0
baseline-cpu0-main-1	0.02	0.02	14992	9071	35	0
baseline-cpu0-main-2	0.01	0.02	15068	9083	32	0
baseline-cpu0-main-3	0.01	0.03	15008	9079	36	0
baseline-cpu0-processes-1	0.02	0.10	15320	39124	35	0
baseline-cpu0-processes-2	0.03	0.10	15340	39158	23	0
baseline-cpu0-processes-3	0.02	0.10	14896	39125	48	0
baseline-cpu0-timeout-1	0.01	0.02	14792	9308	59	0
baseline-cpu0-timeout-2	0.01	0.02	14840	9313	56	0
baseline-cpu0-timeout-3	0.01	0.03	14820	9311	44	0
baseline-cpu0-unavailable-service-1	0.01	0.02	15308	8947	34	0
baseline-cpu0-unavailable-service-2	0.01	0.02	15336	8947	31	0
baseline-cpu0-unavailable-service-3	0.01	0.02	14880	8934	22	0
baseline-normal-graphs-1	0.02	0.03	14724	9067	13	0
baseline-normal-graphs-2	0.03	0.02	14752	9070	28	0
baseline-normal-graphs-3	0.02	0.02	14824	9084	15	0
baseline-normal-hidden-1	0.01	0.02	14736	8881	7	0
baseline-normal-hidden-2	0.01	0.02	14456	8867	6	0
baseline-normal-hidden-3	0.02	0.02	14236	8867	19	0
baseline-normal-main-1	0.01	0.03	14728	8881	12	0
baseline-normal-main-2	0.01	0.02	15108	8883	15	0
baseline-normal-main-3	0.01	0.02	14768	8855	17	0
baseline-normal-processes-1	0.01	0.11	14012	38442	25	0
baseline-normal-processes-2	0.01	0.10	14572	38433	8	0
baseline-normal-processes-3	0.03	0.10	14580	38403	24	0
baseline-normal-timeout-1	0.01	0.03	15008	9107	24	0
baseline-normal-timeout-2	0.01	0.03	14764	9107	22	0
baseline-normal-timeout-3	0.01	0.02	14884	9107	7	0
baseline-normal-unavailable-service-1	0.00	0.02	15208	8742	8	0
baseline-normal-unavailable-service-2	0.00	0.02	14448	8729	12	0
baseline-normal-unavailable-service-3	0.01	0.02	15296	8742	27	0
candidate-cpu0-graphs-1	0.03	0.02	14916	11545	82	0
candidate-cpu0-graphs-2	0.03	0.03	15304	11485	40	0
candidate-cpu0-graphs-3	0.03	0.03	15340	11454	69	0
candidate-cpu0-hidden-1	0.02	0.02	15164	10844	34	0
candidate-cpu0-hidden-2	0.02	0.02	14968	10800	53	0
candidate-cpu0-hidden-3	0.03	0.01	14964	10850	31	0
candidate-cpu0-main-1	0.01	0.02	14848	10868	67	0
candidate-cpu0-main-2	0.02	0.03	14816	10873	43	0
candidate-cpu0-main-3	0.02	0.02	14924	10890	67	0
candidate-cpu0-processes-1	0.03	0.11	14620	45827	50	0
candidate-cpu0-processes-2	0.02	0.11	15408	45741	62	0
candidate-cpu0-processes-3	0.03	0.11	15208	45709	39	0
candidate-cpu0-timeout-1	0.02	0.03	15008	13769	89	0
candidate-cpu0-timeout-2	0.03	0.03	14816	13828	100	0
candidate-cpu0-timeout-3	0.03	0.03	14848	13717	82	0
candidate-cpu0-unavailable-service-1	0.01	0.02	14964	10990	47	0
candidate-cpu0-unavailable-service-2	0.01	0.03	15340	10985	47	0
candidate-cpu0-unavailable-service-3	0.02	0.02	15004	10989	48	0
candidate-normal-graphs-1	0.04	0.02	14636	11799	27	0
candidate-normal-graphs-2	0.05	0.02	13812	11544	26	0
candidate-normal-graphs-3	0.04	0.02	14400	11640	14	0
candidate-normal-hidden-1	0.02	0.03	14420	10653	9	0
candidate-normal-hidden-2	0.02	0.02	14832	10661	5	0
candidate-normal-hidden-3	0.02	0.02	14964	10663	19	0
candidate-normal-main-1	0.03	0.02	14892	10748	19	0
candidate-normal-main-2	0.02	0.03	14324	10752	24	0
candidate-normal-main-3	0.02	0.02	14808	10817	23	0
candidate-normal-processes-1	0.04	0.11	15208	45765	30	0
candidate-normal-processes-2	0.04	0.11	14400	45206	33	0
candidate-normal-processes-3	0.03	0.12	14752	45314	12	0
candidate-normal-timeout-1	0.03	0.03	14332	13741	37	0
candidate-normal-timeout-2	0.03	0.03	14788	13754	14	0
candidate-normal-timeout-3	0.03	0.04	14352	13734	33	0
candidate-normal-unavailable-service-1	0.02	0.02	14388	10757	4	0
candidate-normal-unavailable-service-2	0.03	0.02	15260	10653	17	0
candidate-normal-unavailable-service-3	0.02	0.02	15012	10700	28	0
