implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
baseline	normal	hidden	1	startup	0.100000	0	0	1	1	4304	3113	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	normal	hidden	1	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	normal	hidden	1	steady	8.030000	0	1	0	0	4304	2270	1	0	0	0	10	70082	bounded-stat-poll-0.1s
baseline	normal	hidden	2	startup	0.110000	0	0	1	1	4304	3113	0	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	normal	hidden	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	normal	hidden	2	steady	8.020000	0	1	0	0	4304	2270	1	0	0	0	10	70072	bounded-stat-poll-0.1s
baseline	normal	hidden	3	startup	0.120000	0	0	1	1	4304	3113	1	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	normal	hidden	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	normal	hidden	3	steady	8.030000	0	1	0	0	4304	2270	5	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	normal	main	1	startup	0.120000	0	0	1	0	4080	3113	1	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	normal	main	1	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	normal	main	1	steady	8.020000	0	2	0	0	4080	2270	0	0	0	0	10	70052	bounded-stat-poll-0.1s
baseline	normal	main	2	startup	0.120000	0	0	1	1	4556	3114	0	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	normal	main	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	normal	main	2	steady	8.010000	0	1	0	0	4556	2270	4	0	0	0	10	70077	bounded-stat-poll-0.1s
baseline	normal	main	3	startup	0.090000	0	0	1	1	4240	3113	7	9	9	0	2	13969	bounded-stat-poll-0.1s
baseline	normal	main	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
