implementation	mode	scenario	repetition	daemon_exit	forced_kill	shutdown_seconds	state_check	process_check	protocol_note
baseline	normal	hidden	1	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	hidden	2	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	hidden	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	main	1	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	main	2	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	main	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	graphs	1	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	graphs	2	0	0	0.050000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	graphs	3	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	processes	1	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	processes	2	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	processes	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	unavailable-service	1	0	0	0.120000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	matched user-visible unavailable service; baseline safely intercepts PATH busctl --system, logs exact argv/timestamp/attempt, and returns 69 without a real bus call; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	unavailable-service	2	0	0	0.060000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	matched user-visible unavailable service; baseline safely intercepts PATH busctl --system, logs exact argv/timestamp/attempt, and returns 69 without a real bus call; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	unavailable-service	3	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	matched user-visible unavailable service; baseline safely intercepts PATH busctl --system, logs exact argv/timestamp/attempt, and returns 69 without a real bus call; timeout_elapsed=NA; timeout_detail=NA
baseline	normal	timeout	1	0	0	0.210000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=5.020; timeout_detail=protocol-limitation:baseline-command-page-parser-renders-timeout-as-dash-colon-after
baseline	normal	timeout	2	0	0	0.200000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=5.030; timeout_detail=protocol-limitation:baseline-command-page-parser-renders-timeout-as-dash-colon-after
baseline	normal	timeout	3	0	0	0.210000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=5.030; timeout_detail=protocol-limitation:baseline-command-page-parser-renders-timeout-as-dash-colon-after
baseline	cpu0	hidden	1	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	hidden	2	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	hidden	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	main	1	0	0	0.020000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	main	2	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	main	3	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	graphs	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	graphs	2	0	0	0.100000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	graphs	3	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	processes	1	0	0	0.050000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	processes	2	0	0	0.110000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	processes	3	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	unavailable-service	1	0	0	0.050000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	matched user-visible unavailable service; baseline safely intercepts PATH busctl --system, logs exact argv/timestamp/attempt, and returns 69 without a real bus call; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	unavailable-service	2	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	matched user-visible unavailable service; baseline safely intercepts PATH busctl --system, logs exact argv/timestamp/attempt, and returns 69 without a real bus call; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	unavailable-service	3	0	0	0.080000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	matched user-visible unavailable service; baseline safely intercepts PATH busctl --system, logs exact argv/timestamp/attempt, and returns 69 without a real bus call; timeout_elapsed=NA; timeout_detail=NA
baseline	cpu0	timeout	1	0	0	0.200000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=5.020; timeout_detail=protocol-limitation:baseline-command-page-parser-renders-timeout-as-dash-colon-after
baseline	cpu0	timeout	2	0	0	0.210000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=5.020; timeout_detail=protocol-limitation:baseline-command-page-parser-renders-timeout-as-dash-colon-after
baseline	cpu0	timeout	3	0	0	0.180000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	baseline hidden is user-hidden but legacy daemon has no presentation protocol and continues tooltip work; timeout_elapsed=5.040; timeout_detail=protocol-limitation:baseline-command-page-parser-renders-timeout-as-dash-colon-after
candidate	normal	hidden	1	0	0	0.030000	pass:no_atomic_temps_and_only_intentionally_retained_protocol_files	pass:no_owned_session_members_after_daemon_exit	candidate hidden startup readiness includes implementation-specific present, tooltip-prime, and dismiss actions; setup observes >1s dismissal grace; timeout_elapsed=NA; timeout_detail=NA
