implementation	mode	scenario	window	repetitions	wall_median_s	daemon_cpu_median_s	sampled_peak_rss_median_kib	leader_thread_voluntary_context_switches_median	leader_thread_involuntary_context_switches_median	child_process_attempts_median	successful_children_median	successful_child_exits_median	publication_changes_median	publication_bytes_median
baseline	cpu0	graphs	setup	3	0.070	0.000	0	53	0	0	0	0	0	0
baseline	cpu0	graphs	startup	3	0.130	0.000	4560	3316	1	9	9	0	2	13979
baseline	cpu0	graphs	steady	3	8.010	0.020	4816	2420	0	0	0	0	11	86919
baseline	cpu0	hidden	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
baseline	cpu0	hidden	startup	3	0.130	0.000	4560	3316	2	9	9	0	2	13979
baseline	cpu0	hidden	steady	3	8.020	0.010	4560	2270	0	0	0	0	10	70087
baseline	cpu0	main	setup	3	0.020	0.000	0	0	0	0	0	0	0	0
baseline	cpu0	main	startup	3	0.120	0.000	4560	3316	2	9	9	0	2	13979
baseline	cpu0	main	steady	3	8.020	0.010	4560	2270	0	0	0	0	10	70087
baseline	cpu0	processes	setup	3	0.130	0.010	4744	4971	0	0	0	0	1	3931
baseline	cpu0	processes	startup	3	0.130	0.000	4744	3316	2	9	9	0	2	13979
baseline	cpu0	processes	steady	3	8.020	0.090	4744	27358	0	0	0	0	10	59597
baseline	cpu0	timeout	setup	3	6.100	0.000	4744	222	0	1	1	0	1	4294
baseline	cpu0	timeout	startup	3	0.140	0.000	4744	3284	2	9	9	0	2	13867
baseline	cpu0	timeout	steady	3	8.020	0.010	4744	751	0	3	3	0	3	13976
baseline	cpu0	unavailable-service	setup	3	0.010	0.000	0	13	0	0	0	0	0	0
baseline	cpu0	unavailable-service	startup	3	0.140	0.000	3792	3048	2	7	7	0	2	13979
baseline	cpu0	unavailable-service	steady	3	8.030	0.010	3792	2270	0	0	0	0	10	70087
baseline	normal	graphs	setup	3	0.120	0.000	4864	53	0	0	0	0	1	6220
baseline	normal	graphs	startup	3	0.120	0.000	4352	3113	4	9	9	0	2	13979
baseline	normal	graphs	steady	3	8.020	0.020	4864	2433	3	0	0	0	10	82829
baseline	normal	hidden	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
baseline	normal	hidden	startup	3	0.110	0.000	4304	3113	1	9	9	0	2	13979
baseline	normal	hidden	steady	3	8.030	0.010	4304	2270	1	0	0	0	10	70082
baseline	normal	main	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
baseline	normal	main	startup	3	0.120	0.000	4240	3113	1	9	9	0	2	13979
baseline	normal	main	steady	3	8.010	0.010	4240	2270	0	0	0	0	10	70072
baseline	normal	processes	setup	3	0.130	0.010	4240	4893	0	0	0	0	1	3931
baseline	normal	processes	startup	3	0.120	0.000	4240	3113	1	9	9	0	2	13979
baseline	normal	processes	steady	3	8.020	0.080	4240	26935	7	0	0	0	10	59546
baseline	normal	timeout	setup	3	6.110	0.000	4544	222	0	1	1	0	1	4294
baseline	normal	timeout	startup	3	0.120	0.000	4544	3079	2	9	9	0	2	13867
baseline	normal	timeout	steady	3	8.020	0.010	4544	751	0	3	3	0	3	13976
baseline	normal	unavailable-service	setup	3	0.020	0.000	0	0	0	0	0	0	0	0
baseline	normal	unavailable-service	startup	3	0.120	0.000	3784	2843	3	7	7	0	2	13979
baseline	normal	unavailable-service	steady	3	8.010	0.010	3784	2270	2	0	0	0	10	70077
candidate	cpu0	graphs	setup	3	0.070	0.000	0	0	0	0	0	0	0	0
candidate	cpu0	graphs	startup	3	0.160	0.010	9676	472	3	3	3	0	2	13988
candidate	cpu0	graphs	steady	3	8.010	0.040	10424	0	0	0	0	0	10	76043
candidate	cpu0	hidden	setup	3	1.140	0.000	9988	0	0	0	0	0	1	9147
candidate	cpu0	hidden	startup	3	0.210	0.010	9220	472	3	3	3	0	1	4605
candidate	cpu0	hidden	steady	3	8.010	0.010	9988	0	0	0	0	0	2	9682
candidate	cpu0	main	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
candidate	cpu0	main	startup	3	0.160	0.020	9672	472	2	3	3	0	2	13988
candidate	cpu0	main	steady	3	8.020	0.010	9672	0	0	0	0	0	8	60450
candidate	cpu0	processes	setup	3	0.070	0.010	0	0	0	0	0	0	0	0
candidate	cpu0	processes	startup	3	0.160	0.010	9728	475	3	3	3	0	2	13988
candidate	cpu0	processes	steady	3	8.010	0.090	9984	0	0	0	0	0	9	53729
candidate	cpu0	timeout	setup	3	6.090	0.010	9728	3	0	2	2	0	3	13244
candidate	cpu0	timeout	startup	3	0.150	0.010	9728	475	3	3	3	0	2	13876
candidate	cpu0	timeout	steady	3	8.020	0.020	9728	7	0	2	2	0	2	9682
candidate	cpu0	unavailable-service	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
candidate	cpu0	unavailable-service	startup	3	0.160	0.010	8844	472	3	3	3	0	2	13585
candidate	cpu0	unavailable-service	steady	3	8.020	0.020	9100	0	0	0	0	0	8	58425
candidate	normal	graphs	setup	3	0.070	0.000	0	0	0	0	0	0	0	0
candidate	normal	graphs	startup	3	0.140	0.020	8964	272	0	3	3	0	2	13988
candidate	normal	graphs	steady	3	8.010	0.030	9980	0	0	0	0	0	8	60478
candidate	normal	hidden	setup	3	1.130	0.000	8452	0	0	0	0	0	1	9147
candidate	normal	hidden	startup	3	0.200	0.010	7684	272	2	3	3	0	1	4605
candidate	normal	hidden	steady	3	8.030	0.020	8452	0	0	0	0	0	1	4841
candidate	normal	main	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
candidate	normal	main	startup	3	0.140	0.010	8648	272	4	3	3	0	2	13988
candidate	normal	main	steady	3	8.010	0.020	8648	0	0	0	0	0	7	55609
candidate	normal	processes	setup	3	0.070	0.010	0	0	0	0	0	0	0	0
candidate	normal	processes	startup	3	0.150	0.010	8772	269	0	3	3	0	2	13988
candidate	normal	processes	steady	3	8.020	0.110	9028	0	0	0	0	0	8	48916
candidate	normal	timeout	setup	3	6.100	0.010	8452	3	0	2	2	0	5	22926
candidate	normal	timeout	startup	3	0.150	0.010	8452	273	0	3	3	0	2	13876
candidate	normal	timeout	steady	3	8.030	0.020	8508	4	0	2	2	0	3	14523
candidate	normal	unavailable-service	setup	3	0.010	0.000	0	0	0	0	0	0	0	0
candidate	normal	unavailable-service	startup	3	0.150	0.010	7876	269	1	3	3	0	2	13585
candidate	normal	unavailable-service	steady	3	8.020	0.030	7876	0	0	0	0	0	8	58405
