── Tooltip output (processes) ──────────────────────────────────
TOP PROCESSES
 
   PID  COMMAND         %CPU  %MEM
  7649  zen --name app…  129   1.3
  7788  browser 4 rdd     39   0.1
663989  pi                19   0.3
552791  Code --standar…   17   0.5
 32579  browser 26 tab    11   0.3
661133  pi                 9   0.3
495557  Code --gpu-pre…    7   0.2
  2973  kwin_wayland -…    5   0.3
  3005  wireplumber        3   0.0
416941  browser 49 tab     1   0.7
  3285  plasmashell --…    1   0.5
549439  Code --standar…    1   0.5
549505  Code --standar…    1   0.5
559732  Code --standar…    1   0.5
638604  Code --standar…    1   0.5
               ● ●


