── Tooltip output (processes) ──────────────────────────────────
TOP PROCESSES
 
    PID  COMMAND         %CPU  %MEM
   7649  zen --name app…  122   1.3
 663989  pi                21   0.3
 552791  Code --standar…   19   0.5
  32579  browser 26 tab    13   0.3
 661133  pi                11   0.3
   2973  kwin_wayland -…   11   0.3
 549439  Code --standar…    9   0.6
 495557  Code --gpu-pre…    9   0.2
1112527  pi                 5   0.2
   3285  plasmashell --…    3   0.5
 559732  Code --standar…    3   0.5
 416941  browser 49 tab     1   0.7
 638604  Code --standar…    1   0.5
 495506  code               1   0.4
 561710  kilo serve --p…    1   0.4
                ● ●


