mode	scenario	job	max_queue_p99_ms	max_run_p99_ms
normal	hidden	Discovery:HardwareDiscovery:Inventory(SystemBattery)	57.504	0.581
normal	hidden	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	42.259	0.122
normal	hidden	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.120	24.329
normal	hidden	Discovery:HardwareDiscovery:Inventory(Network)	24.314	2.217
normal	hidden	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	12.804	0.112
normal	hidden	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	2.116	10.311
normal	hidden	Discovery:MountInventory:Singleton	9.965	0.276
normal	hidden	Discovery:HardwareDiscovery:Inventory(Peripheral)	9.901	0.480
normal	hidden	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.031	5.087
normal	hidden	Discovery:HardwareDiscovery:Inventory(Smart)	0.094	2.566
normal	hidden	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.041	1.529
normal	hidden	Discovery:HardwareDiscovery:Inventory(Cpu)	0.604	0.711
normal	hidden	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	0.424	0.126
normal	hidden	Disk:DiskUsage:Mount("/")	0.407	0.167
normal	hidden	Discovery:HardwareDiscovery:Inventory(Thermal)	0.071	0.397
normal	hidden	Network:NetworkRate:Device("tun0")	0.365	0.119
normal	hidden	Discovery:HardwareDiscovery:Inventory(Nvidia)	0.078	0.359
normal	hidden	Memory:Memory:Singleton	0.341	0.036
normal	hidden	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.198	0.268
normal	hidden	Network:NetworkHistory:Singleton	0.111	0.058
normal	hidden	Memory:MemoryHistory:Singleton	0.090	0.008
normal	hidden	Cpu:CpuHistory:Singleton	0.086	0.027
normal	hidden	Discovery:HardwareDiscovery:Inventory(Intel)	0.055	0.066
normal	main	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.187	24.819
normal	main	Discovery:HardwareDiscovery:Inventory(Network)	24.726	1.856
normal	main	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	22.289	0.139
normal	main	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	12.939	0.069
normal	main	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	1.662	9.887
normal	main	Discovery:HardwareDiscovery:Inventory(Peripheral)	9.716	0.647
normal	main	Discovery:HardwareDiscovery:Inventory(SystemBattery)	0.096	7.492
normal	main	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.042	5.107
normal	main	Discovery:HardwareDiscovery:Inventory(Smart)	0.047	2.987
normal	main	Discovery:MountInventory:Singleton	2.895	0.283
normal	main	Disk:DiskUsage:Mount("/")	2.401	0.088
normal	main	Network:NetworkIdentity:Singleton	0.364	1.939
normal	main	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.043	1.587
normal	main	Network:NetworkRate:Device("tun0")	0.521	0.081
normal	main	Memory:Memory:Singleton	0.511	0.062
normal	main	Discovery:HardwareDiscovery:Inventory(Cpu)	0.047	0.455
normal	main	Discovery:HardwareDiscovery:Inventory(DiskIo)	0.169	0.428
