mode	scenario	repeat	first_paint_p99_ms	publication_p99_ms	skipped_display_deadlines	first_paint_over_250ms	publication_over_50ms
normal	hidden	1	9.251	1.776	0	0	0
normal	hidden	2	9.454	2.059	0	0	0
normal	hidden	3	9.540	1.143	0	0	0
normal	main	1	103.999	1.777	0	0	0
normal	main	2	104.348	2.273	0	0	0
normal	main	3	105.167	2.043	0	0	0
normal	graphs	1	105.106	1.305	0	0	0
normal	graphs	2	104.003	2.042	0	0	0
normal	graphs	3	103.569	2.003	0	0	0
normal	processes	1	103.643	2.184	0	0	0
normal	processes	2	104.539	2.018	0	0	0
normal	processes	3	103.601	1.776	0	0	0
affinity-cpu0	hidden	1	10.376	1.955	0	0	0
affinity-cpu0	hidden	2	8.594	1.549	0	0	0
affinity-cpu0	hidden	3	9.472	1.581	0	0	0
affinity-cpu0	main	1	104.021	2.048	0	0	0
affinity-cpu0	main	2	104.364	1.829	0	0	0
affinity-cpu0	main	3	104.503	1.708	0	0	0
affinity-cpu0	graphs	1	105.855	1.162	0	0	0
affinity-cpu0	graphs	2	105.122	1.999	0	0	0
affinity-cpu0	graphs	3	103.750	1.973	0	0	0
affinity-cpu0	processes	1	104.934	2.068	0	0	0
affinity-cpu0	processes	2	103.544	1.966	0	0	0
affinity-cpu0	processes	3	106.715	2.058	0	0	0
