mode	scenario	repeat	wake_p99_ms
normal	hidden	1	1.829
normal	hidden	2	1.788
normal	hidden	3	1.687
normal	main	1	1.831
normal	main	2	1.838
normal	main	3	2.020
normal	graphs	1	1.584
normal	graphs	2	1.937
normal	graphs	3	1.912
normal	processes	1	1.974
normal	processes	2	1.808
normal	processes	3	1.667
affinity-cpu0	hidden	1	1.701
affinity-cpu0	hidden	2	1.992
affinity-cpu0	hidden	3	1.792
affinity-cpu0	main	1	1.942
affinity-cpu0	main	2	2.548
affinity-cpu0	main	3	3.032
affinity-cpu0	graphs	1	1.871
affinity-cpu0	graphs	2	3.106
affinity-cpu0	graphs	3	1.870
affinity-cpu0	processes	1	2.680
affinity-cpu0	processes	2	1.886
affinity-cpu0	processes	3	1.895
