phase	mode	run	attempts	accepted	rejected	cancelled	run_p99_ms	first_paint_p99_ms	publication_p99_ms	skipped	shutdown_ms	user_s	system_s	rss_kb	vol_cs	invol_cs
before	cpu0	1	32	18	11	3	1.517	104.541	2.123	0	2.614	0.04	0.01	11468	230	126
before	cpu0	2	34	19	13	2	1.303	104.194	1.437	0	4.457	0.04	0.01	11580	228	108
before	cpu0	3	37	21	14	2	1.225	104.832	0.687	0	6.182	0.05	0.01	11780	235	105
before	normal	1	36	14	19	3	2.086	104.938	1.467	0	2.327	0.06	0.02	10704	323	16
before	normal	2	36	13	20	3	1.963	103.733	1.021	0	2.376	0.06	0.01	10508	367	12
before	normal	3	37	14	20	3	2.096	104.692	1.340	0	2.660	0.06	0.01	10960	364	21
after	cpu0	1	7	4	2	1	0.735	103.472	1.359	0	2.367	0.01	0.00	11280	169	83
after	cpu0	2	7	4	2	1	0.798	103.852	1.833	0	2.207	0.01	0.01	11472	173	84
after	cpu0	3	7	4	2	1	0.728	102.747	2.159	0	2.364	0.01	0.01	10960	166	72
after	normal	1	8	4	3	1	1.385	103.569	1.488	0	5.049	0.02	0.00	10248	252	15
after	normal	2	8	4	3	1	1.707	104.268	1.265	0	3.937	0.02	0.01	10892	259	9
after	normal	3	8	4	3	1	1.747	104.429	0.621	0	2.277	0.02	0.01	11016	244	9
