── Tooltip output (processes) ──────────────────────────────────
TOP PROCESSES
 
   PID  COMMAND            %CPU  %MEM
185311  Code --standard-s…  144   0.5
324900  Code --standard-s…   98   0.4
656450  pi                   13   0.3
163170  Code --gpu-prefer…   11   0.1
  3318  kwin_wayland --wa…    5   0.2
 11113  browser 14 tab        3   0.1
163112  code                  1   0.4
326800  code /home/bogdan…    1   0.1
170615  Code --standard-s…    1   0.1
  1868  NetworkManager --…    1   0.0
  1632  systemd-oomd          1   0.0
662245  plasma-top render…    1   0.0
632151  kworker/u129:10+e…    1   0.0
  7279  zen --name app.ze…    0   1.2
 10666  browser 12 tab        0   0.9
                 ● ●


